pk_numero	data	numero	rubrica_all	note_fuori_rubrica	notizie_fatti_storici	note	note_varie
84	1946-04-09	83	no	Compagnia Bonecchi a Chiasso (3)	 scrittore Henri de Ziegler in TI (3)	 Conferenza Nobile Ventura (3); arrestato l'assassino dello scrittore Kai Munk (4)	Milano è socialista (elezioni) (1)
85	1946-04-10	84	no				
86	1946-04-11	85	no	Conferenza Ventura alla Ghilda (recap 	 p4)		
87	1946-04-12	86	si	"Civitas nova (uni in CH ita, p1); ""In casa di Formenti"" (episodio di guerra dal giornale ""Socialismo"", p2,), conferenza Nobile Ventura a Mendrisio (3), conferenza de Ziegler a Locarno (3), mosta d'incisioni del gruppo romando ""tailles et morsures"" (3)"			
88	1946-04-13	87	no	compagnia Bonecchi a Chiasso e Mendrisio (2)	 Chevalier a Lugano (2)	 espo arte Zaccheo e Chepard a Locarno (2)	 mosta Lomazzi a Lugano (2);  corsi ITA alla Dante Alighieri di Basilea (2)
89	1946-04-15	88	no	Salvatore Quasimodo lascia il PC (2)			
90	1946-04-16	89	no	smentita dimissioni Quasimodo dal PC (2)	 rappresentazioni Bonecchi (3)	PAG 3 inferiore INCOMPLETA; ripresa attività Ku Klux Klan negli USA; ad Auschwitz massacrate 3 mio pp (processo Norimberga	 p4)
91	1946-04-17	90	no				
92	1946-04-18	91	no	chiusura Biblioteca cantonale di Lugano (p3)			
93	1946-04-19	92	no	Colloquio Lasky-Croce (p3)			
94	1946-04-20	93	si	"""SUPPLEMENTO"" (rubrica su tutta la p3!)"			
95	1946-04-23	94	no	"un coraggioso discorso di Lasky (1); ""A Saturnino Ruiz operaio tipografo"" di Manuel Altolaguirre (POESIA, p2)"	PAG 3 inferiore INCOMPLETA		
96	1946-04-24	95	no	mostra pittrice Guidini a Lugano (3); edizioni svizzere per la gioventù (4)			
97	1946-04-25	96	no	morto il pittore ticinese G.B. Corty (3)			
98	1946-04-26	97	no	conferenza Nino Salvaneschi a Locarno (3)	 poesie inedite di Delio Tessa (p3)		
99	1946-04-27	98	no	conferenza Nino Salvaneschi a Chiasso (2)	 conferenza su Manzoni a Lugano (2)	 corsi di italiano alla Dante Alighieri di Basilea (2)	
100	1946-04-29	99	no	lettura poesie di Delio Tessa a Lugano (2)	 dottorato honoris causa in lettere a P. Perret a Losanna (3)		
101	1946-04-30	100	no	conferenza Salvaneschi a Mendrisio (3); annuncio premio letterario Libera Stampa (4)			
102	1946-05-01	101-102	si (special: L'ARTE DÀ E CREA	 CON LA POLITICA	 LA COSCIENZA DEI POPOLI)	"poesia Vladimir Maiakovski (1); azione socialista e preparazione culturale (8), poesia W. Leonhard ""Liebknecht morto"" (11)"	
103	1945-05-03	103	si				
104	1946-05-04	104	no		Socialismo e comunismo in Francia	 Tensione in Alto Adige	
105	1946-05-06	105	no				
106	1946-05-07	106	no	Nella nostra libreria (p4)			
107	1946-05-08	107	no	L'arte di Georges Darel al Kunsthaus di Zurigo (2)	"""Ad un anno di distanza. Necessità di una pace socialista"" e similmente ""Dopo l'otto Maggio 1945. Desideri e realtà entro l'anno"" (1); Ferruccio Parri (partigiano) a Lugano (3)"		
108	1946-05-09	108	no	"12 maggio festa della mamma: poesia ""Viva la Mam!"" in una pubblicità (p4)"			
109	1946-05-10	109	si				
110	1946-05-11	110	no	eposizione del libro svizzero (e assenza del TI; p2); compagnia Bonecchi a Faido (2)	 Conferenza Salvaneschi a Bellinzona (2); alla Dante Alighieri di Basilea conferenza informativa su situa culturale in IT (2)	gio 10 maggio re Vittorio EmanueleIII  ha abdicato	
111	1946-05-13	111	no	conferenza Fiocco su pittore Luini a Chiasso e Lugano (p3)	 Hitchock a Londra (p4)	 artisti che non si fanno onore (p4)	Congresso PS (tra cui situa Libera Stampa p1)
112	1946-05-14	112	no	Concerto Cortot al Kursaal (3)	 conferenza Fiocco su Luini a Lugano (p3)	 annuncio premio letterario Libera Stampa (p4)	
113	1946-05-15	113	no				
114	1946-05-16	114	no	Conferenza Fiocco su Luini a Lugano (p3)			
115	1946-05-17	115	si	Conferenza su Luini nel locarnese (3)	Amarezza nella stampa IT su revisione trattato armistizio IT (1)		
116	1946-05-18	116	no	"""La nuova stampa italiana"", esposizione giornali/riviste IT (2); Conferenza su Luini a Biasca (3), "			
117	1946-05-20	117	no				
118	1946-05-21	118	no	donazioni Libri agli internati (2)			
